rrq4k/6p1/2N4p/8/6R1/5n2/4K3/1B6 b - - acn 2939550; acs 5; bm Qxg4 Rb2+ Rxb1; ce 32756; dm 6; pv Rb2+ Bc2 Rxc2+ Ke3 Ra3+ Kf4 Qc7+ Ke4 Rc4+ Nd4 Qe5#;
3K4/7R/8/8/4q3/8/4k3/8 b - - acn 39882; acs 0; bm Qxh7; ce 32756; dm 6; pv Qxh7 Ke8 Ke3 Kf8 Ke4 Ke8 Ke5 Kf8 Ke6 Ke8 Qg8#;
3K4/7Q/3N1pBb/2p3n1/pR2n1r1/3rk3/2p1b2q/8 b - - acn 556861; acs 2; bm Nxh7 Qxd6+; ce 32756; dm 6; pv Qxd6+ Kc8 Qc6+ Qc7 Nd6+ Kb8 Rxb4+ Qb6 Rxb6+ Ka7 Nb5#;
3K4/7B/4p1b1/4P3/1p4kB/1r5p/6N1/5q2 b - - acn 226490; acs 0; bm Qf8+; ce 32756; dm 6; pv Qf8+ Kd7 Rd3+ Kc7 Qc5+ Kb7 Rd7+ Kb8 Qb5+ Kc8 Qb7#;
3K4/6b1/3p4/2rk4/n7/3B4/8/8 b - - acn 349809; acs 1; bm Bf6+ Ke6; ce 32756; dm 6; pv Bf6+ Ke8 Ke6 Ba6 Nb6 Bb7 Rh5 Bc8+ Nxc8 Kf8 Rh8#;
3K4/6B1/R7/3prpNb/N2k1q1R/3pb3/B2p1p2/4n3 w - - acn 320348; acs 1; bm Rd6; ce 32756; dm 6; pv Rd6 Bf7 Rb6 Nc2 Re6 Bxe6 Bf8 Re4 Nf3+ Qxf3 Bg7#;
3K4/5q2/6n1/8/3k4/1P6/1P4R1/8 b - - acn 161258; acs 0; bm Kd5 Ne5; ce 32756; dm 6; pv Ne5 Rd2+ Kc5 b4+ Kc6 Rc2+ Kb6 Rc6+ Nxc6+ Kc8 Qe8#;
3K4/5p2/N1p5/8/k2P4/n1qrpQ2/1P1b4/2r5 b - - acn 56429; acs 0; bm Qxd4+; ce 32756; dm 6; pv Qxd4+ Qd5 Qxd5+ Kc8 Qd7+ Kb8 Rb3+ Nb4 Rxb4+ Ka8 Qb7#;
3K4/5k2/8/8/8/8/8/R7 w - - acn 2815; acs 0; bm Ra6; ce 32756; dm 6; pv Ra6 Kf8 Ra7 Kg8 Ke8 Kh8 Kf7 Kh7 Ra6 Kh8 Rh6#;
3K4/5k2/4r3/8/8/8/8/8 b - - acn 6658; acs 0; bm Re7; ce 32756; dm 6; pv Re7 Kc8 Ke8 Kb8 Kd8 Ka8 Kc7 Ka7 Re6 Ka8 Ra6#;
3K4/5k2/4R3/8/8/8/8/8 w - - acn 9387; acs 0; bm Kd7 Ra6 Rb6 Rc6 Rd6; ce 32756; dm 6; pv Rd6 Kf8 Rd7 Kg8 Ke8 Kh8 Kf7 Kh7 Rd6 Kh8 Rh6#;
3K4/5k2/2R5/8/8/8/8/8 w - - acn 3379; acs 0; bm Kd7 Ra6 Rb6 Rd6; ce 32756; dm 6; pv Rd6 Kf8 Rd7 Kg8 Ke8 Kh8 Kf7 Kh7 Rd6 Kh8 Rh6#;
3K4/5k2/1R6/8/8/8/8/8 w - - acn 11954; acs 0; bm Kd7 Ra6 Rc6 Rd6; ce 32756; dm 6; pv Rc6 Kf8 Rc7 Kg8 Ke8 Kh8 Kf7 Kh7 Rc6 Kh8 Rh6#;
3K4/5B2/3k4/1R6/3Nb3/8/8/8 w - - acn 697217; acs 1; bm Bc4; ce 32756; dm 6; pv Bc4 Bg2 Nf5+ Kc6 Ne7+ Kd6 Bf7 Bh1 Nc8+ Kc6 Be8#;
3K4/4r2R/1n6/3k4/8/8/6P1/8 b - - acn 75413; acs 0; bm Rxh7; ce 32756; dm 6; pv Rxh7 g3 Rg7 g4 Ke6 g5 Rh7 g6 Rg7 Ke8 Rg8#;
3K4/4pNp1/1np1kpP1/p1p2r2/6Q1/8/3R4/6n1 w - - acn 1325550; acs 2; bm Kc7 Nd6; ce 32756; dm 6; pv Nd6 exd6 Rf2 d5 Qxf5+ Kd6 Qf4+ Ke6 Qe3+ Kd6 Qe7#;
3K4/4p3/qp2PpQ1/4P2b/3k3r/N2np2r/N4P1b/1n6 b - - acn 288486; acs 1; bm Bxg6; ce 32756; dm 6; pv Bxg6 Nb5+ Qxb5 fxe3+ Kc4 e4 Rh8+ Kc7 Nc5 Nb4 Bxe5#;
3K4/4p3/8/3kp3/6B1/8/3N4/2R5 w - - acn 1518703; acs 2; bm Rc4; ce 32756; dm 6; pv Rc4 e4 Kxe7 Ke5 Rxe4+ Kd5 Rc4 Ke5 Nf3+ Kd5 Be6#;
3K4/4R3/1R6/q7/2p2p1b/5k1P/P1p5/6B1 b - - acn 478059; acs 1; bm c1=Q; ce 32756; dm 6; pv c1=Q a3 Qd1+ Bd4 Qxd4+ Ke8 Qh5+ Rg6 Qxg6+ Rf7 Qd8#;
3K4/4P3/b2p3b/8/1p1PP3/1qp3n1/3kPP2/8 b - - acn 1979466; acs 5; bm Bg5 Qe6; ce 32756; dm 6; pv Bg5 d5 Nxe4 f3 Qa4 f4 Qb5 f5 Qb8+ Kd7 Qc8#;
3K4/4N3/3k4/3B2P1/3P4/8/8/8 w - - acn 80262; acs 0; bm Bc6; ce 32756; dm 6; pv Bc6 Ke6 Be8 Kd6 g6 Ke6 g7 Kf6 g8=R Ke6 Rg6#;
3K4/3R4/4k3/3R4/8/7b/8/8 w - - acn 411396; acs 1; bm Ke8; ce 32756; dm 6; pv Ke8 Kf6 R7d6+ Kg7 Rg5+ Kh7 Rh5+ Kg7 Rxh3 Kg8 Rg6#;
3K4/3R4/2pN4/kbbrn3/8/8/8/8 b - - acn 213081; acs 0; bm Rxd6; ce 32756; dm 6; pv Rxd6 Rxd6 Bxd6 Ke8 Ka6 Kd8 Kb7 Ke8 c5+ Kd8 Nf7#;
3K4/3R1b2/1pk5/1p6/1P6/8/4P3/3B4 w - - acn 142191; acs 0; bm e4; ce 32756; dm 6; pv e4 Be6 Bf3 Bg4 Bh1 Bf3 e5 Bxh1 Kc8 Bg2 Rd6#;
3K4/3R1N2/5p2/6bk/4N2r/8/8/2qr4 b - - acn 352542; acs 1; bm Rxd7+ Rxe4; ce 32756; dm 6; pv Rxd7+ Kxd7 Rxe4 Nd8 Rd4+ Ke8 Qc8 Kf8 Rxd8+ Kf7 Qd7#;
3K4/3Q1Q2/8/8/8/4q3/8/4k3 w - - acn 91134; acs 0; bm Qg6; ce 32756; dm 6; pv Qg6 Kf2 Qdd6 Qb6+ Qxb6+ Ke2 Qge6+ Kd2 Qee3+ Kc2 Qbb3#;
3K4/3P4/3q4/3p4/3k4/3P4/8/8 b - - acn 164276; acs 0; bm Ke5; ce 32756; dm 6; pv Ke5 d4+ Ke6 Kc8 Qxd7+ Kb8 Kd6 Ka8 Kc6 Kb8 Qb7#;
3K4/3P3N/n2pNp2/2pk1p2/2pp1Pp1/2n3Q1/2P5/4R3 w - - acn 1697900; acs 2; bm Kc8 Qxc3; ce 32756; dm 6; pv Qxc3 dxc3 Kc8 Kc6 d8=Q g3 Qd7+ Kb6 Qb7+ Ka5 Ra1#;
3K4/3P3N/n2pNp2/2pk1p2/2pp1Pp1/2n3Q1/2P5/4R3 w - - acn 1697763; acs 3; bm Kc8 Qxc3; ce 32756; dm 6; pv Qxc3 dxc3 Kc8 Kc6 d8=Q g3 Qd7+ Kb6 Qb7+ Ka5 Ra1#;
3K4/3N4/8/8/2Pp2p1/1P1P2p1/qrp1kp2/2B5 b - - acn 1654638; acs 3; bm f1=Q; ce 32756; dm 6; pv f1=Q c5 Qf5 c6 Qa8+ Kc7 Qd5 Nb8 Qa7+ Kc8 Qg8#;
3K4/3N4/3k4/1PpppP2/3p4/P2P2P1/p2P2p1/3R4 w - - acn 338037; acs 1; bm Rg1; ce 32756; dm 6; pv Rg1 a1=Q Rxa1 e4 Rg1 e3 Rxg2 e2 Rxe2 c4 Re6#;
3K4/3N4/1p2Rp2/1P1k1P2/8/8/1N6/3P4 w - - acn 530474; acs 1; bm Kc7 Kc8 Ke7 Re1 Re2 Re3 Re7 Re8 d2; ce 32756; dm 6; pv d2 Kd4 Re7 Kd5 Kc7 Kd4 Kxb6 Kd5 Nxf6+ Kd6 Re6#;
3K4/3N1p2/7p/1r6/p1Nk4/P7/2Q5/6bB w - - acn 1532218; acs 2; bm Bc6; ce 32756; dm 6; pv Bc6 Rb8+ Nxb8 f5 Nd7 h5 Qb2+ Kxc4 Ne5+ Kc5 Qb4#;
3K4/3N1p2/1n5p/1r6/2Nk4/P7/2Q5/6bB w - - acn 730261; acs 1; bm Ncxb6; ce 32756; dm 6; pv Ncxb6 Ke3 Nf6 Rb3 Nfd5+ Kd4 Qc4+ Ke5 Qf4+ Ke6 Nc7#;
3K4/2r5/8/4k3/8/8/8/8 b - - acn 3488; acs 0; bm Kd6 Ra7; ce 32756; dm 6; pv Ra7 Ke8 Kd6 Kf8 Ke6 Kg8 Kf6 Kh8 Kg6 Kg8 Ra8#;
3K4/2pp1R2/3p4/3p4/3p3k/1P1p1p1P/3brP2/2q1r3 b - - acn 77546; acs 0; bm Bg5+ Bh6 Kh5 Qc6 Re8+; ce 32756; dm 6; pv Bg5+ Kxd7 Re7+ Rxe7 Rxe7+ Kc8 c6 b4 Qf4 b5 Qf8#;
3K4/2pN3p/7R/3k2p1/3p2R1/6r1/2PN2p1/1b1n3n w - - acn 797839; acs 2; bm Re4; ce 32756; dm 6; pv Re4 Re3 Kxc7 Rc3+ Kd8 Re3 c4+ dxc3ep Rd4+ Kxd4 Rd6#;
3K4/2p5/3kpP2/4p3/1P2Qn2/2p5/3r4/8 w - - acn 30030; acs 0; bm f7; ce 32756; dm 6; pv f7 Nd5 f8=Q+ Kc6 Qc5+ Kb7 Qxc7+ Ka8 Kc8 c2 Qb8#;
3K4/2p3q1/p6b/1kB5/q2PRp2/1P3N2/p1p2P1P/3q4 b - - acn 1166000; acs 3; bm Kc6 Qxb3; ce 32756; dm 6; pv Qxb3 Re5 Qbg8+ Bf8+ Qxe5 Nxe5 Qxd4+ Nd7 Qxf8+ Kxc7 Qa7#;
3K4/2p1N3/3k4/8/2PpP3/1N1B1P2/8/8 w - - acn 340157; acs 1; bm f4; ce 32756; dm 6; pv f4 Ke6 Ke8 Kf6 Kf8 Ke6 e5 Kd7 Bf5+ Kd8 Nc6#;
3K4/2P5/3p4/3k1N2/8/3N1p2/P7/8 w - - acn 620077; acs 1; bm c8=Q; ce 32756; dm 6; pv c8=Q f2 Qa8+ Ke6 Ne7 f1=Q Qe4+ Kf7 Qg6+ Kf8 Qg8#;
3K4/1r6/8/4k3/8/8/8/8 b - - acn 17129; acs 0; bm Kd6 Ra7; ce 32756; dm 6; pv Ra7 Ke8 Kd6 Kf8 Ke6 Kg8 Kf6 Kh8 Kg6 Kg8 Ra8#;
3K4/1r6/8/3k4/8/8/8/8 b - - acn 24353; acs 0; bm Kc6 Kd6 Ra7; ce 32756; dm 6; pv Ra7 Ke8 Kd6 Kf8 Ke6 Kg8 Kf6 Kh8 Kg6 Kg8 Ra8#;
3K4/1r6/2k5/8/8/8/8/8 b - - acn 44355; acs 0; bm Kd6 Ra7 Rc7 Rd7+; ce 32756; dm 6; pv Rd7+ Ke8 Kd6 Kf8 Ke6 Kg8 Kf6 Kh8 Kg6 Kg8 Rd8#;
3K4/1r1p1N2/3P1P1p/3n4/p1nrk3/4b3/1Q6/1qB5 b - - acn 457977; acs 1; bm Rb8+; ce 32756; dm 6; pv Rb8+ Qxb8 Qxb8+ Kxd7 Ncb6+ Kc6 Rc4+ Kb5 Nc3+ Ka5 Qa7#;
3K4/1pPpp3/1N2k1P1/1N3n2/2P5/3r2nB/8/B1br1Q2 w - - acn 6976813; acs 12; bm Bg7; ce 32756; dm 6; pv Bg7 Bg5 c8=Q Bf6 Qe1+ Re3 Qxe3+ Ne4 Qxe4+ Be5 Bxf5#;
3K4/1p6/P1P5/4p3/pkPRp3/pNp1P3/2P5/8 w - - acn 272360; acs 1; bm axb7 cxb7; ce 32756; dm 6; pv cxb7 a2 b8=Q+ Ka3 Na1 exd4 a7 d3 a8=Q d2 Qb3#;
3K4/1p6/8/7p/p3k1np/p7/2p5/1B6 b - - acn 281078; acs 0; bm cxb1=Q; ce 32756; dm 6; pv cxb1=Q Ke8 Qb5+ Kf8 Qd7 Kg8 Nf6+ Kf8 Ne8 Kg8 Qg7#;
3K4/1p1B4/1N5R/PNk3p1/1pP1p3/1p2pp2/1r6/2n2bbn w - - acn 793131; acs 2; bm Rg6; ce 32756; dm 6; pv Rg6 Rg2 Rf6 Ng3 Re6 Nd3 Rd6 Nf4 Na4+ Kxc4 Rd4#;
3K4/1k6/p1p5/2B5/8/8/8/1B6 w - - acn 119635; acs 0; bm Bf5; ce 32756; dm 6; pv Bf5 a5 Bc8+ Kb8 Bd6+ Ka8 Kc7 c5 Bb7+ Ka7 Bxc5#;
3K4/1k1B4/8/8/2N5/8/8/8 w - - acn 68326; acs 0; bm Bb5; ce 32756; dm 6; pv Bb5 Kb8 Nd6 Ka7 Kc7 Ka8 Bc4 Ka7 Nc8+ Ka8 Bd5#;
3K4/1Pr1p2N/b3pB2/bp2Nk1P/1P3q2/3P1p2/8/1r6 b - - acn 3354607; acs 7; bm Rxb7+ exf6; ce 32756; dm 6; pv Rxb7+ bxa5 exf6 Nf8 fxe5 Nd7 Qd4 Ke8 Qxd7+ Kf8 Rb8#;
3K4/1P6/5k2/3p4/8/3N4/8/8 w - - acn 245271; acs 0; bm b8=Q; ce 32756; dm 6; pv b8=Q d4 Qe5+ Kg6 Nf4+ Kh6 Qf6+ Kh7 Qf7+ Kh8 Ng6#;
3K3n/pN3pQ1/1p2Pp2/1k6/p5P1/P7/6P1/8 w - - acn 560850; acs 1; bm Qxf6 e7; ce 32756; dm 6; pv e7 Ng6 e8=Q+ Kc4 Qe2+ Kc3 Qxf6+ Ne5 Qfxe5+ Kb3 Q5e3#;
3K3n/pN3pQ1/1p2Pp2/1k6/p5P1/P7/6P1/8 w - - acn 560842; acs 1; bm Qxf6 e7; ce 32756; dm 6; pv e7 Ng6 e8=Q+ Kc4 Qe2+ Kc3 Qxf6+ Ne5 Qfxe5+ Kb3 Q5e3#;
3K3k/P1p2P2/2P5/2P5/6pp/N7/p7/N6r w - - acn 61599; acs 0; bm f8=Q+; ce 32756; dm 6; pv f8=Q+ Kh7 a8=Q Rd1+ Kxc7 Rd7+ cxd7 Kg6 Qae8+ Kg5 d8=Q#;
3K3k/6R1/5B2/5p2/8/8/5p2/8 w - - acn 158238; acs 0; bm Ke7; ce 32756; dm 6; pv Ke7 f1=Q Rg1+ Kh7 Rxf1 Kh6 Kf7 Kh5 Rf4 Kh6 Rh4#;
3K3b/8/3ppp2/3PP3/1PPkP3/1P2R1P1/1p3p2/1B3N2 w - - acn 413904; acs 1; bm Ke7; ce 32756; dm 6; pv Ke7 f5 Rd3+ Kxe5 dxe6 Bf6+ Kf7 Kxe4 Nd2+ Ke5 Rd5#;
3K3Q/p6n/3k2p1/2np1p2/3Np2R/3P2P1/rP5p/8 w - - acn 186243; acs 0; bm Qg7 Rxh7; ce 32756; dm 6; pv Rxh7 Ne6+ Nxe6 f4 Rd7+ Kxe6 g4 h1=Q Qe8+ Kf6 Qe7#;
3K3Q/p6n/3k2p1/2np1p2/3Np2R/3P2P1/rP5p/8 w - - acn 186242; acs 0; bm Qg7 Rxh7; ce 32756; dm 6; pv Rxh7 Ne6+ Nxe6 f4 Rd7+ Kxe6 g4 h1=Q Qe8+ Kf6 Qe7#;
3K3N/1P6/3p1p2/2p1k3/4p2P/3np2p/1P3P2/3QP3 w - - acn 1629473; acs 2; bm Ng6+ b8=Q fxe3; ce 32756; dm 6; pv Ng6+ Kd5 Ne7+ Kd4 b8=Q h2 fxe3+ Ke5 Qh5+ f5 Qxf5#;
3K3B/8/2k1N3/2N5/4r3/3B4/8/8 w - - acn 233510; acs 1; bm Nxe4; ce 32756; dm 6; pv Nxe4 Kb6 N4c5 Kc6 Nd7 Kd6 Nc7 Kc6 Be4+ Kd6 Be5#;
3K2p1/2pP3p/3p3P/1P1k2P1/P2N2P1/1p3pP1/5Q2/6n1 w - - acn 2567105; acs 3; bm Qd2; ce 32756; dm 6; pv Qd2 Kc4 Nc6 Ne2 Kxc7 Kc5 d8=Q g7 Q8xd6+ Kc4 Q6b4#;
3K2n1/3p2pr/p3k1Bp/5p1N/1R1P4/p1N5/5n2/8 w - - acn 177084; acs 0; bm Rb6+; ce 32756; dm 6; pv Rb6+ d6 Rb7 f4 Rb1 Nd3 Re1+ Nxe1 Nxf4+ Kf6 Ne4#;
3K2kr/2Q4r/4p2p/4P3/b5n1/1p6/8/8 b - - acn 124157; acs 0; bm b2; ce 32756; dm 6; pv b2 Qd6 b1=Q Qxe6+ Kg7+ Qg8+ Rxg8+ Ke7 Qd1 e6 Qd8#;
3K2kn/5pp1/8/4p2R/4P1P1/1B6/7P/8 w - - acn 302349; acs 1; bm Ke7; ce 32756; dm 6; pv Ke7 Ng6+ Ke8 Nh8 g5 g6 Rh7 Kxh7 Kf8 f6 Bg8#;
3K2k1/2p2N2/4b1B1/8/5p2/5q2/1r6/6R1 b - - acn 257798; acs 0; bm Kf8; ce 32756; dm 6; pv Kf8 Be4 Qxe4 Rg8+ Kxf7 Rf8+ Kxf8 Kxc7 Rb7+ Kd8 Qd5#;
3K2br/8/8/3R4/2k1B3/3r4/4P3/Bq6 b - - acn 137495; acs 0; bm Qb6+ Qb8+ Rxd5+; ce 32756; dm 6; pv Rxd5+ Bxd5+ Kxd5 e4+ Kc6 Bb2 Qf1 Bf6 Qxf6+ Ke8 Bf7#;
3K2bq/3p1Pbr/3p1B1r/3k3p/1P1Npn1P/8/6p1/5Bn1 b - - acn 204032; acs 0; bm Bxf7+; ce 32756; dm 6; pv Bxf7+ Kxd7 Be6+ Kc7 Bxf6+ Kb6 gxf1=Q b5 Bd8+ Ka6 Qa1#;
3K2bq/3n1Qr1/4p1p1/5P2/5Np1/3PP1b1/3B1kPn/5r2 b - - acn 954846; acs 2; bm Rc1 Rxf7; ce 32756; dm 6; pv Rxf7 Be1+ Rxe1 fxe6 Bh7+ Kc7 Rc1+ Kb7 Qc8+ Ka7 Rc7#;
3K2bR/4B1kn/5p1R/5Pp1/6P1/8/8/8 w - - acn 247763; acs 0; bm Kc7 Rxg8+; ce 32756; dm 6; pv Rxg8+ Kxg8 Rg6+ Kh8 Ke8 Nf8 Bxf8 Kh7 Kf7 Kh8 Rh6#;
3K2b1/p2p1p1r/Q3P3/2pk2p1/2N3p1/1B2P3/n7/2b3n1 w - - acn 1395742; acs 3; bm Qb7+; ce 32756; dm 6; pv Qb7+ Kxe6 Qa6+ Kd5 Qf6 d6 Qf5+ Kc6 Ba4+ Kb7 Qc8#;
3K2B1/5p1N/3PpP2/3pP1P1/2pP4/BpP5/kP1N3P/8 w - - acn 150505; acs 0; bm Bxf7 g6; ce 32756; dm 6; pv g6 Ka1 g7 Ka2 Bxf7 Ka1 g8=Q Ka2 Qg6 Ka1 Qb1#;
3K1nn1/5rp1/4p1Rr/6Pk/6Nb/8/5R1p/8 b - - acn 127717; acs 0; bm Rd7+; ce 32756; dm 6; pv Rd7+ Ke8 h1=Q Rxh6+ gxh6 Rg2 Qb1 Nf6+ Nxf6+ gxf6 Qb8#;
3K1kNr/5p1b/4P1p1/3N4/8/8/8/8 w - - acn 9962; acs 0; bm e7+; ce 32756; dm 6; pv e7+ Kxg8 e8=N Kf8 Ndf6 g5 Nd7+ Kg8 Ke7 g4 Ndf6#;
3K1k2/5P1P/8/8/8/8/8/8 w - - acn 10444; acs 0; bm h8=Q+; ce 32756; dm 6; pv h8=Q+ Kxf7 Qh6 Kg8 Kd7 Kf7 Qg5 Kf8 Ke6 Ke8 Qg8#;
3K1R2/7B/6bn/8/2P1N1P1/1n1kNr1R/3b3B/q7 b - - acn 396215; acs 1; bm Rxf8+; ce 32756; dm 6; pv Rxf8+ Kd7 Qg7+ Kd6 Rd8+ Kc6 Na5+ Kb6 Qb7+ Kc5 Nb3#;
3K1N2/8/4p2Q/3R4/2krN1R1/P2p4/3pn3/3P2P1 w - - acn 1962534; acs 3; bm Nd7 Rxd4+; ce 32756; dm 6; pv Rxd4+ Nxd4 Qxd2 Nc6+ Kc7 e5 Qc3+ Kb5 Nc5 e4 a4#;
3K1N2/5p2/2p5/1pB1k3/4p2P/1P3pNp/7r/1n3Q1b w - - acn 1992615; acs 4; bm Ke7 Nd7+; ce 32756; dm 6; pv Nd7+ Ke6 Qxb1 f5 Qa1 Rb2 Ke8 h2 Qxb2 f2 Qe5#;
3K1N2/3P3p/8/2r2kB1/4q1r1/3P4/8/8 b - - acn 2532468; acs 4; bm Qa8+ Qc6 Qd5 Qe5; ce 32756; dm 6; pv Qa8+ Ke7 Re5+ Ne6 Rxe6+ Kf7 Rxg5 d8=Q Qxd8 d4 Re7#;
3K1B2/2p5/nnrpk2p/2P2R1P/qpNp4/1P4NB/4P3/6bb w - - acn 705342; acs 1; bm Bg7; ce 32756; dm 6; pv Bg7 dxc5 Rf3+ Kd5 e4+ dxe3ep Rf5+ Ke6 Rf1+ Kd5 Rd1#;
3K1B2/2p5/8/3Bqp2/3r1k2/3p1N2/3P4/8 b - - acn 187641; acs 0; bm Qxd5+; ce 32756; dm 6; pv Qxd5+ Kc8 Kxf3 Be7 Qc6 Bf8 Re4 Be7 Ra4 Bf8 Ra8#;
3Brq2/2ppRp1K/2p1p2p/8/7P/3PPPPk/p1PrRbp1/N2bnBQ1 w - - acn 8733; acs 0; bm Qh1+; ce 32756; dm 6; pv Qh1+ Kxg3 Bxc7+ d6 Bxd6+ e5 Bxe5+ Kxf3 Qh3+ Bg3 Qxg3#;
3Br3/3p4/3bk3/8/8/5r1P/6Kp/7B b - - acn 1084434; acs 2; bm Ref8; ce 32756; dm 6; pv Ref8 h4 Rg3+ Kxh2 Rf2+ Bg2 Rgxg2+ Kh1 Bh2 h5 Rg1#;
3Bnb2/Rq2p1nR/2p1k3/3N1r2/7r/5Q1b/5K2/8 b - - acn 45924; acs 0; bm Qb2+; ce 32756; dm 6; pv Qb2+ Ke1 Rxf3 Nf4+ Rfxf4 Rh6+ Rxh6 Rxe7+ Bxe7 Bc7 Rf1#;
3Bnb2/Rq2p1nR/2p1k2p/3N1r2/7r/5Q1b/5K2/8 b - - acn 72781; acs 0; bm Qb2+; ce 32756; dm 6; pv Qb2+ Ke1 Rxf3 Nf4+ Rfxf4 Rxh6+ Rxh6 Rxe7+ Bxe7 Bc7 Rf1#;
3Bn3/3pN2K/5k1p/7r/3P1Pp1/3Pp1P1/Bb6/8 w - - acn 150638; acs 0; bm Bg8; ce 32756; dm 6; pv Bg8 Bc1 d5 Bb2 d6 Re5 Ng6+ Re7+ Bxe7+ Kf5 Nh4#;
3Bn1R1/K5p1/4P2p/4rP2/6b1/4k1r1/4N1pp/6b1 b - - acn 1055353; acs 2; bm Kxe2+; ce 32756; dm 6; pv Kxe2+ Bb6 Rb5 Rxg7 Nxg7 e7 Rxb6 e8=Q+ Nxe8 f6 Ra3#;
3Bkb1K/5R2/1p2p1p1/1p3R2/Br1p1r2/n2b4/8/5q2 b - - acn 364868; acs 1; bm Rxf5; ce 32756; dm 6; pv Rxf5 Bxb5+ Rbxb5 Rg7 Bxg7+ Kg8 Rf8+ Kxg7 Qf7+ Kh6 Rh8#;
3Bk3/6pp/2nP4/1QN2K1p/4p3/r2r1Bp1/bPN3P1/1qb5 w - - acn 5674; acs 0; bm Qxc6+; ce 32756; dm 6; pv Qxc6+ Kf8 Nd7+ Kg8 Nf6+ gxf6 Qe8+ Kg7 Bxf6+ Kh6 Qxh5#;
3Bk2n/2p1P3/4K3/4N1PP/6Bb/8/pPp1pPpr/8 w - - acn 59355; acs 0; bm Kd5; ce 32756; dm 6; pv Kd5 c6+ Kd4 Bxf2+ Kd3 e1=N+ Ke2 g1=N+ Kf1 Ne2 Bd7#;
3Bbk2/8/4PNpP/8/8/4p2B/1p6/bK6 w - - acn 68079; acs 0; bm Bc7 Bf1 Bg4; ce 32756; dm 6; pv Bf1 g5 Nxe8 e2 Bxe2 Kg8 Nf6+ Kh8 e7 g4 e8=Q#;
3BR3/5B2/4n1p1/Q4bP1/2k4p/5K2/P1n1pppN/5N2 w - - acn 74695; acs 0; bm Qa4+; ce 32756; dm 6; pv Qa4+ Nb4 Ne3+ Kc5 Be7+ Kd4 Qxb4+ Kd3 Qc4+ Kd2 Bb4#;
3BR3/1q3p1K/8/2p2k2/4p3/P3R1PP/4P3/8 w - - acn 131782; acs 0; bm Bh4; ce 32756; dm 6; pv Bh4 Qb1 Rd3 Qxd3 exd3 exd3 Kg7 f6 Bxf6 d2 Re5#;
3BBbK1/1p6/7p/r7/r3b3/3n2P1/3nkp1N/4q3 b - - acn 539601; acs 1; bm Qa1; ce 32756; dm 6; pv Qa1 Bh5+ Rxh5 Kxf8 Rf5+ Kg8 Ra8 g4 Rxd8+ Kh7 Rh5#;
3BBb2/2pRqPN1/3prkp1/4prp1/1pQ2p2/p4P1N/1P3PP1/5RK1 w - - acn 1292140; acs 4; bm Qxe6+; ce 32756; dm 6; pv Qxe6+ Kxg7 Bxe7 g4 Bxf8+ Kh7 Ng5+ Rxg5 Qf6 g3 Qg7#;
3BB3/5N2/3Nk3/8/2K5/8/8/8 w - - acn 748826; acs 1; bm Kc3 Kd3; ce 32756; dm 6; pv Kc3 Kd5 Bd7 Kc5 Nc8 Kd5 Kd3 Kc5 Be7+ Kd5 Nb6#;
3BB3/4P1k1/4q3/5r2/3K4/8/8/8 b - - acn 1073662; acs 2; bm Qd5+ Qe5+ Rd5+; ce 32756; dm 6; pv Rd5+ Kc3 Qe3+ Kc4 Qe4+ Kc3 Rd3+ Kc2 Qe2+ Kc1 Rd1#;
3BB3/3PP3/2Pk1P2/8/8/8/8/7K w - - acn 235037; acs 0; bm Ba5 Bb6 Bc7+ Bf7 Bg6 c7; ce 32756; dm 6; pv Bc7+ Kd5 d8=Q+ Kc4 Bf7+ Kc3 e8=Q Kc2 Qe2+ Kc3 Qed2#;
3BB1k1/1Q6/3q4/6P1/8/8/8/4K3 w - - acn 26714; acs 0; bm Qf7+; ce 32756; dm 6; pv Qf7+ Kh8 Bf6+ Qxf6 Qxf6+ Kg8 Bf7+ Kf8 Bd5+ Ke8 Bc6#;
3B4/rp5R/pK2pn2/1n4kB/1p1P2Pp/7p/bpR1NPp1/2b5 w - - acn 498332; acs 1; bm Rc8; ce 32756; dm 6; pv Rc8 Nd6 Bxf6+ Kxf6 Rf8+ Nf7 Rhxf7+ Kg5 Rg8+ Kh6 Rg6#;
3B4/r6P/R7/7k/K7/8/8/1q6 b - - acn 96677; acs 0; bm Rxa6+; ce 32756; dm 6; pv Rxa6+ Ba5 Ra8 h8=Q+ Rxh8 Bc7 Ra8+ Ba5 Ra7 Ka3 Rxa5#;
3B4/p7/P1kNN3/4K3/8/8/1P6/8 w - - acn 605263; acs 1; bm Nf8; ce 32756; dm 6; pv Nf8 Kc5 Ba5 Kc6 b3 Kc5 b4+ Kc6 b5+ Kc5 Ne6#;
3B4/p4p1r/k1B5/7p/rP5K/P7/P7/7R w - - acn 101027; acs 0; bm Kh3; ce 32756; dm 6; pv Kh3 Rxa3+ Kh2 Rxa2+ Kh3 Ra3+ Kh4 Rh3+ Rxh3 f6 b5#;
3B4/p3K3/kn1p4/1b6/pp2p1P1/P6p/2P3p1/4q2r b - - acn 5167469; acs 10; bm Bc4 Qc3 Qf1 Qf2 Qg3 Qh4+ Rf1 g1=Q; ce 32756; dm 6; pv Qh4+ g5 Nc8+ Ke6 Bc4+ Kf6 Rf1+ Kg6 Bg8 c3 Qh7#;
