rr6/PPPPkPP1/4P2B/5P2/8/1q5n/3K4/8 w - - acn 55674; acs 0; bm f8=Q+; ce 32754; dm 7; pv f8=Q+ Rxf8 gxf8=Q+ Rxf8 d8=Q+ Rxd8+ cxd8=Q+ Kxd8 b8=Q+ Qxb8 axb8=Q+ Ke7 Qf8#;
3b2rr/k2q1p2/p2p1p2/3NpP2/4P1p1/1R1Q2P1/PP5P/1KR5 w - - acn 15941882; acs 22; bm Nb4; ce 32754; dm 7; pv Nb4 Qb5 Nc6+ Kb7 Nxd8+ Rxd8 Rxb5+ axb5 Qxb5+ Ka7 Rc7+ Ka8 Qb7#;
3b2rk/3P2pp/8/p7/8/2Q1p3/PP1p1pPP/3RqR1K b - - acn 1182231; acs 1; bm Qxd1; ce 32754; dm 7; pv Qxd1 h4 Qxf1+ Kh2 Qg1+ Kg3 f1=Q Qxd2 Bc7+ Kh3 Qf3+ g3 Qfxg3#;
3b2k1/8/b7/8/8/B2p2p1/6P1/K7 b - - acn 1076230; acs 1; bm d2; ce 32754; dm 7; pv d2 Bc5 d1=Q+ Kb2 Qd2+ Kb3 Bf6 Bd6 Qb2+ Ka4 Bc3 Be7 Bb5#;
3b2k1/3R2P1/4K3/8/8/8/8/8 w - - acn 229226; acs 0; bm Kf5 Rxd8+; ce 32754; dm 7; pv Rxd8+ Kxg7 Rd5 Kg6 Ke7 Kg7 Rd6 Kg8 Kf6 Kh8 Kg6 Kg8 Rd8#;
3b2k1/1ppq1rpp/r2Q1p1B/8/1p6/6R1/PPP2PPP/4R1K1 w - - acn 9036791; acs 12; bm Qd5; ce 32754; dm 7; pv Qd5 g6 Rge3 Be7 Rxe7 Re6 R7xe6 Re7 Rxf6+ Rf7 Rxf7 g5 Rf8#;
3b2b1/2pp3r/p1P5/p1B2p2/2kP4/2N4p/2PP3K/7B w - - acn 328182; acs 1; bm Nb1; ce 32754; dm 7; pv Nb1 Kb5 Na3+ Ka4 cxd7 Rh6 Nb1 Kb5 Nc3+ Kc4 Bf3 f4 Be2#;
3b1n1R/1p1q3r/1prPp2N/4Pp1B/2p4R/2K5/3pp3/n2k2B1 w - - acn 185904; acs 0; bm Rh1; ce 32754; dm 7; pv Rh1 Nc2 Be3+ Ne1 Ng4 fxg4 Bxd2 Bh4 Bg6 Nxg6 Ra8 g3 Ra1#;
3b1kN1/pp3Pp1/4PpP1/3p4/6pp/1P6/3N4/B2K4 w - - acn 3952368; acs 3; bm Bb2; ce 32754; dm 7; pv Bb2 Be7 Ba3 Bxa3 b4 Bxb4 e7+ Bxe7 Nb3 h3 Nd4 h2 Ne6#;
3b1N2/1Kp5/2P5/1k6/1P1pPp2/BP1P1P2/2p3q1/2N5 w - - acn 98780; acs 0; bm Ne6; ce 32754; dm 7; pv Ne6 Qg7 e5 Qd7 cxd7 c5 Nxd4+ cxd4 Ne2 Bb6 d8=Q c1=Q Qxb6#;
3Rb3/6kp/6p1/3P1p2/3q4/Q5PP/P1r1r1B1/6RK b - - acn 6473108; acs 6; bm Qxg1+; ce 32754; dm 7; pv Qxg1+ Kxg1 Rxg2+ Kh1 Rh2+ Kg1 Rcg2+ Kf1 Bb5+ Qd3 Bxd3+ Ke1 Rh1#;
3Rb2Q/p4kp1/1r5P/8/2pPPP2/7q/1P3P2/4K3 b - - acn 9553; acs 0; bm Qh1+; ce 32754; dm 7; pv Qh1+ Kd2 Rxb2+ Ke3 Rb3+ Kd2 c3+ Kd3 Bb5+ Ke3 c2+ Kd2 c1=Q#;
3RR3/n2KBp2/n4Pbb/1p3p2/2p2p2/2p2P2/2p2p2/4krN1 w - - acn 261014; acs 0; bm Ba3+; ce 32754; dm 7; pv Ba3+ Kd1 Ke7+ Ke1 Kd6+ Kd1 Ke5+ Ke1 Kd4+ Kd2 Re2+ Kd1 Ke5#;
3RNR2/4k3/8/8/8/8/P7/7K w - - acn 2097782; acs 1; bm Nd6 Nf6 a4; ce 32754; dm 7; pv a4 Kxf8 Rd7 Kg8 a5 Kh8 a6 Kg8 a7 Kh8 a8=Q Kg8 Nc7#;
3RK3/3B4/2rB4/8/8/Np3p2/bp1p1Pp1/qrkn2R1 w - - acn 2791398; acs 4; bm Be6 Bg4 Bh3 Nb5; ce 32754; dm 7; pv Nb5 Rc4 Be6 Rc6 Bf7 Rc4 Bxc4 Kc2 Bb4 Kc1 Bxd2+ Kc2 Na3#;
3RK1bn/2p2prr/2P1pRnk/4P3/5PP1/4B3/8/6q1 w - - acn 303748; acs 1; bm Rd1; ce 32754; dm 7; pv Rd1 Qe1 Rb1 Qc1 Ra1 Qxc6+ Kd8 Qd5+ Kc8 Qd7+ Kxd7 c6 f5#;
3R4/rpp1BKp1/8/p3kp2/3p1p2/1N3P1b/1pP4r/3nb3 w - - acn 1029977; acs 2; bm Bf8; ce 32754; dm 7; pv Bf8 Rg2 Nc5 Nf2 Nd7+ Kd5 Ne5+ Kxe5 c4 dxc3ep Bc5 g6 Bd4#;
3R4/pp4rk/1npQ1pp1/q4PPp/4P3/1b5P/6B1/5RK1 w - - acn 12103558; acs 14; bm fxg6+; ce 32754; dm 7; pv fxg6+ Rxg6 Qe7+ Rg7 g6+ Kxg6 Rxf6+ Kh7 Rh8+ Kxh8 Rh6+ Rh7 Qxh7#;
3R4/p4pkp/5p2/2q5/4B3/4P1Pb/P1R2P1P/6K1 b - - acn 480900; acs 1; bm Qb4; ce 32754; dm 7; pv Qb4 Rcd2 Qxe4 Rg8+ Kxg8 Rd8+ Kg7 Rg8+ Kxg8 f3 Qxe3+ Kh1 Qe1#;
3R4/p3kpb1/n6p/1Q6/1P2r3/P7/1qp2PPP/4R1K1 w - - acn 499520; acs 1; bm Rxe4+; ce 32754; dm 7; pv Rxe4+ Be5 Qd7+ Kf6 Qc6+ Bd6 Rxd6+ Kg7 Rg4+ Kf8 Rd8+ Ke7 Re8#;
3R4/8/8/rpK1B1pr/8/7N/B2NkPPn/4b1Q1 w - - acn 1702587; acs 2; bm Nb3; ce 32754; dm 7; pv Nb3 Bb4+ Kxb4 Rh4+ f4 Ra4+ Kxb5 Rb4+ Kxb4 Rxf4+ Nxf4+ gxf4 Nc1#;
3R4/8/8/B5p1/4k1K1/8/3P4/8 w - - acn 2333991; acs 2; bm Rd6; ce 32754; dm 7; pv Rd6 Ke5 Bc7 Ke4 Bd8 Ke5 Be7 Ke4 Bxg5 Ke5 Bf4+ Ke4 d3#;
3R4/8/8/8/8/4Pr2/4R3/4K2k w - - acn 543918; acs 0; bm Rf2; ce 32754; dm 7; pv Rf2 Rg3 Ke2 Rg8 Rf1+ Rg1 Rxg1+ Kxg1 Kf3 Kh1 Kg3 Kg1 Rd1#;
3R4/8/8/8/5p1p/2p2p1p/2P1pP1p/1Q2K1nk w - - acn 942121; acs 1; bm Qb7; ce 32754; dm 7; pv Qb7 Kg2 Qg7+ Kh1 Qxc3 Kg2 Rg8+ Kh1 Kd2 e1=Q+ Kxe1 Ne2 Qxf3#;
3R4/8/8/8/5K2/8/4k3/8 w - - acn 121761; acs 0; bm Rd4 Rd5 Rd6 Rd7; ce 32754; dm 7; pv Rd7 Kf2 Rd2+ Ke1 Ke3 Kf1 Rc2 Kg1 Kf3 Kh1 Kg3 Kg1 Rc1#;
3R4/8/8/2K5/8/2k5/8/8 w - - acn 9158; acs 0; bm Kb5; ce 32754; dm 7; pv Kb5 Kb3 Rc8 Ka3 Kc4 Kb2 Kb4 Ka2 Kc3 Ka1 Kc2 Ka2 Ra8#;
3R4/8/8/2K5/8/1k6/8/8 w - - acn 43084; acs 0; bm Rd3+; ce 32754; dm 7; pv Rd3+ Kb2 Kb4 Kc2 Rd4 Kb2 Rc4 Ka2 Kc3 Ka3 Kc2 Ka2 Ra4#;
3R4/8/8/1K6/8/2k5/8/8 w - - acn 50701; acs 0; bm Rd5 Rd6 Rd7; ce 32754; dm 7; pv Rd7 Kb3 Rc7 Ka3 Kc4 Kb2 Kb4 Ka2 Kc3 Ka1 Kc2 Ka2 Ra7#;
3R4/8/5k2/1N6/2N5/8/3P4/K7 w - - acn 5302666; acs 4; bm Nd4; ce 32754; dm 7; pv Nd4 Kg6 Rf8 Kg5 Ne5 Kh4 Rf3 Kh5 Ne6 Kh4 d3 Kh5 Rh3#;
3R4/8/4K3/6k1/8/8/8/8 w - - acn 112216; acs 0; bm Rd4; ce 32754; dm 7; pv Rd4 Kg6 Rg4+ Kh5 Kf5 Kh6 Rg3 Kh7 Kf6 Kh8 Kf7 Kh7 Rh3#;
3R4/8/2K5/8/8/2k5/8/8 w - - acn 168395; acs 0; bm Kb5; ce 32754; dm 7; pv Kb5 Kb3 Rc8 Ka3 Kc4 Kb2 Kb4 Ka2 Kc3 Ka1 Kc2 Ka2 Ra8#;
3R4/8/1pp5/nrk1pp1P/1p6/1p4p1/1Np5/K6R w - - acn 299145; acs 0; bm Re1; ce 32754; dm 7; pv Re1 e4 Rf1 f4 Re1 e3 Rf1 f3 Rh1 c1=Q+ Rxc1+ Nc4 Nd3#;
3R4/7k/4NK2/8/6r1/8/8/8 w - - acn 281000; acs 0; bm Ng5+; ce 32754; dm 7; pv Ng5+ Rxg5 Kxg5 Kg7 Rd7+ Kf8 Kf6 Kg8 Rd8+ Kh7 Re8 Kh6 Rh8#;
3R4/6p1/2p1p1K1/2p1ppP1/2p1k3/2P1Bp2/2P2P2/8 w - - acn 761129; acs 1; bm Rd1; ce 32754; dm 7; pv Rd1 f4 Bd2 Kd5 Bxf4+ Ke4 Bd2 Kd5 Bc1+ Ke4 Rd2 Kf4 Rd4#;
3R4/6kp/1q3pp1/8/2n1PP2/2Q3P1/rr4BP/3R3K w - - acn 958515; acs 2; bm R8d7+; ce 32754; dm 7; pv R8d7+ Kh8 Qxc4 Qb3 Qc8+ Qg8 Rd8 h5 Rxg8+ Kh7 Rh8+ Kg7 Rd7#;
3R4/5r2/8/8/8/8/4R3/4K2k w - - acn 993203; acs 1; bm Rd1; ce 32754; dm 7; pv Rd1 Rf1+ Kd2 Rxd1+ Kxd1 Kg1 Ke1 Kh1 Kf2 Kh2 Re3 Kh1 Rh3#;
3R4/5r1k/p4Qp1/1p5p/1P2q2P/P5P1/2R4K/8 b - - acn 23739; acs 0; bm Qxc2+; ce 32754; dm 7; pv Qxc2+ Kh3 Rxf6 Rd7+ Kh6 Rc7 Qf5+ g4 Qf3+ Kh2 Qe2+ Kh3 Rf3#;
3R4/5p2/1p1r1Q2/1PpPKR2/2k5/3p4/3P1r2/6B1 w - - acn 1412610; acs 2; bm Kxd6; ce 32754; dm 7; pv Kxd6 Rxd2 Rf1 Re2 Rc1+ Rc2 Rb1 d2 Qf4+ Kc3 Qf3+ Kc4 Qb3#;
3R4/4k3/8/5K2/8/8/8/8 w - - acn 60697; acs 0; bm Rd1 Rd2 Rd3 Rd4 Rd5; ce 32754; dm 7; pv Rd5 Kf7 Rd7+ Ke8 Ke6 Kf8 Rc7 Kg8 Kf6 Kh8 Kg6 Kg8 Rc8#;
3R4/4k1p1/8/8/b3KP2/N5Pn/q7/8 b - - acn 17682335; acs 16; bm Kxd8; ce 32754; dm 7; pv Kxd8 Nb1 Qc4+ Ke3 Bc2 Kd2 Bf5 g4 Qc2+ Ke1 Bxg4 f5 Qc1#;
3R4/4Pn1R/2b1p3/4k3/2K5/8/8/8 w - - acn 2477386; acs 3; bm Rxf7; ce 32754; dm 7; pv Rxf7 Bd5+ Rxd5+ exd5+ Kb4 Ke4 e8=Q+ Kd4 Rf4+ Kd3 Rf2 d4 Qe2#;
3R4/4Nr2/8/8/8/8/1P2R3/4K2k w - - acn 5926474; acs 5; bm Rd1 Rf2; ce 32754; dm 7; pv Rf2 Rg7 Nd5 Rg1+ Ke2 Re1+ Kxe1 Kg1 Rg8+ Kh1 Rf4 Kh2 Rh4#;
3R4/2p5/8/3p4/pP1k1P2/P2B4/3K4/8 w - - acn 3549356; acs 4; bm Rc8; ce 32754; dm 7; pv Rc8 c6 Rc7 c5 b5 c4 Bb1 c3+ Ke2 c2 Rxc2 Ke4 Rc4#;
3R4/2p5/4R1P1/2p5/K1kp4/5N2/1p1P2q1/8 b - - acn 18244; acs 0; bm Qxf3; ce 32754; dm 7; pv Qxf3 d3+ Qxd3 Rxd4+ Qxd4 Re1 Qd3 Re4+ Qxe4 Ka3 b1=Q g7 Qa1#;
3R4/2p3B1/bBp1Pn2/1n2krp1/1P3p2/2pR1p2/5N2/2K5 w - - acn 3599416; acs 5; bm e7; ce 32754; dm 7; pv e7 Ke6 Bxf6 g4 e8=Q+ Kxf6 Qh8+ Kg6 Rg8+ Kf7 Qg7+ Ke6 Re8#;
3R4/2Qb3q/r1rp1p2/1K1k4/2NbR3/3Pp2B/2n1P3/8 w - - acn 19958; acs 0; bm Be6+; ce 32754; dm 7; pv Be6+ Bxe6 Rxd6+ Rxd6 Re5+ fxe5 Nxe3+ Nxe3 Qc4+ Nxc4 e4+ Qxe4 dxc4#;
3R4/1p3b1k/p1p2Ppp/2P3r1/1P2pQ2/Pq2P3/6K1/3R4 w - - acn 71846; acs 0; bm Qxg5; ce 32754; dm 7; pv Qxg5 Qb2+ Kg3 Qe5+ Qxe5 h5 Rh1 b6 Qe7 g5 Qxf7+ Kh6 Rh8#;
3R4/1Bk1b3/4K3/2N5/8/8/8/8 w - - acn 2219104; acs 2; bm Kxe7; ce 32754; dm 7; pv Kxe7 Kb6 Nb3 Kxb7 Kd7 Kb6 Rb8+ Ka6 Kc7 Ka7 Nd4 Ka6 Ra8#;
3R3q/ppppppp1/7P/7p/R1P2P2/3PP3/r1P2krQ/1B5K w - - acn 990620; acs 1; bm Qxg2+; ce 32754; dm 7; pv Qxg2+ Kxe3 Qe4+ Kd2 Rxa2 h4 c3+ Kxc3 Qe5+ Kb4 Qb5+ Kc3 Qb2#;
3R2R1/7r/5k2/2rp3B/1n2pPPP/4K3/8/8 w - - acn 55069; acs 0; bm Rgf8+; ce 32754; dm 7; pv Rgf8+ Ke6 f5+ Ke5 Rfe8+ Re7 Rxe7+ Kf6 Rf7+ Ke5 Re8+ Kd6 Re6#;
3R2Q1/pp2kp1p/4p3/r4p2/5P2/PqP3P1/1P5P/2K5 w - - acn 424077; acs 1; bm Qf8+; ce 32754; dm 7; pv Qf8+ Kf6 Re8 Qxb2+ Kxb2 Rb5+ Kc2 Rb2+ Kxb2 Kg6 Qg8+ Kh6 Qg5#;
3R2Q1/2k5/8/4r3/8/8/3K4/8 w - - acn 2679327; acs 3; bm Qf8 Ra8 Rc8+ Rd3 Rd4; ce 32754; dm 7; pv Rc8+ Kd7 Qd8+ Ke6 Rc6+ Kf5 Qf6+ Kg4 Qxe5 Kh4 Rg6 Kh3 Qg3#;
3R2K1/5p2/bN1Pp3/pp1P4/1bRPkPB1/6P1/P1P2B2/1r6 w - - acn 8505007; acs 10; bm Nd7; ce 32754; dm 7; pv Nd7 Kxd5 Nb6+ Ke4 d5+ bxc4 Nd7 Kxd5 Nb6+ Ke4 Nd5 f6 Nxf6#;
3R2Bk/2p5/2b2Pp1/r5P1/8/2pN1pP1/6PK/qnb3R1 w - - acn 2656799; acs 3; bm Ba2+; ce 32754; dm 7; pv Ba2+ Kh7 Re1 Ba3 Bg8+ Kh8 Bd5+ Be8 Rexe8+ Bf8 Rxf8+ Kh7 Rf7#;
3R1r1k/1b3p1p/p7/1p2pN1P/1P6/4Kr2/PP6/3R4 w - - acn 15136; acs 0; bm Ke2; ce 32754; dm 7; pv Ke2 Rxf5 h6 Bf3+ Ke3 Kg8 Rg1+ Bg4 Rxg4+ Rg5 Rxg5+ Kh8 Rxf8#;
3R1nk1/3r1p2/p3pQp1/1pp1P2P/4B3/4P3/5PK1/3q4 w - - acn 489333; acs 1; bm Bf3; ce 32754; dm 7; pv Bf3 gxh5 Qg5+ Kh7 Rxf8 Qf1+ Kxf1 Rd1+ Bxd1 h4 Bc2+ f5 exf6ep#;
3R1n2/3Nr3/4Q1b1/1p1B1p2/1ppBpp2/1p1k4/6K1/8 w - - acn 3510580; acs 5; bm Bxc4+; ce 32754; dm 7; pv Bxc4+ Kxd4 Qf6+ Ke3 Nxf8 f3+ Kg3 Rd7 Rxd7 bxc4 Qb6+ Ke2 Qf2#;
3R1N2/2n3pb/2nP1P1q/4k3/5p1Q/3pNPP1/B2R4/2K5 w - - acn 19873071; acs 31; bm Nc4+ Ng4+ dxc7 gxf4+; ce 32754; dm 7; pv gxf4+ Kd4 Qf2 Kc5 Nd7+ Kb5 Bc4+ Kb4 Rb2+ Ka4 Ra2+ Kb4 Qb2#;
3R1B2/p7/p5p1/3n1pP1/P2k1P2/1Kp2P2/2P2P2/8 w - - acn 644023; acs 1; bm Ba3; ce 32754; dm 7; pv Ba3 a5 Rd6 a6 Ka2 Kc4 Rc6+ Kd4 Bc5+ Kc4 Bd6+ Kd4 Be5#;
3Qrnk1/bpp2pp1/pq6/4pNp1/2P1P1P1/6P1/PPB2PK1/7R b - - acn 1494766; acs 1; bm Qxf2+; ce 32754; dm 7; pv Qxf2+ Kh3 Rxd8 Ne7+ Kh7 Nd5 Rd6 Nf4 exf4 e5+ Kh8 gxf4 Rh6#;
3Qn1k1/3P1pp1/7p/5q2/6P1/5P1K/7P/8 b - - acn 43990; acs 0; bm Qxf3+; ce 32754; dm 7; pv Qxf3+ Kh4 g5+ Qxg5+ hxg5+ Kh5 Ng7+ Kxg5 Ne6+ Kh4 Qf2+ Kh5 Qxh2#;
3Q4/k6r/2K5/8/8/8/8/8 w - - acn 97074; acs 0; bm Qa5+ Qb6+ Qd4+; ce 32754; dm 7; pv Qd4+ Kb8 Qe5+ Ka8 Qa1+ Kb8 Qb1+ Ka7 Qxh7+ Ka6 Qb7+ Ka5 Qb5#;
3Q4/8/8/8/8/8/4K3/6kq w - - acn 11912; acs 0; bm Qd4+; ce 32754; dm 7; pv Qd4+ Kh2 Qh4+ Kg2 Qg4+ Kh2 Kf2 Qe1+ Kxe1 Kh1 Kf1 Kh2 Qg2#;
3Q4/8/8/8/8/3K2p1/8/3k2q1 w - - acn 126385; acs 0; bm Qf6; ce 32754; dm 7; pv Qf6 Qe3+ Kxe3 Kc2 Qc6+ Kb2 Kd3 g2 Qb6+ Ka2 Kc3 g1=Q Qb2#;
3Q4/8/8/8/3K4/8/pk6/8 w - - acn 37810; acs 0; bm Kc4; ce 32754; dm 7; pv Kc4 Kc2 Qd3+ Kb2 Qd2+ Kb1 Kb3 a1=N+ Kc3 Nc2 Qxc2+ Ka1 Qb2#;
3Q4/8/8/4k3/8/8/8/6K1 w - - acn 18827; acs 0; bm Qd7; ce 32754; dm 7; pv Qd7 Ke4 Kg2 Ke5 Kf3 Kf6 Kf4 Kg6 Qe7 Kh6 Kf5 Kh5 Qg5#;
3Q4/8/8/3K4/8/8/pk6/8 w - - acn 192850; acs 0; bm Kc4; ce 32754; dm 7; pv Kc4 Kc2 Qd3+ Kb2 Qd2+ Kb1 Kb3 a1=N+ Kc3 Nc2 Qxc2+ Ka1 Qb2#;
3Q4/8/8/2k5/8/8/6K1/8 w - - acn 119612; acs 0; bm Kf2 Kf3; ce 32754; dm 7; pv Kf2 Kb5 Qc7 Kb4 Ke3 Ka4 Qb7 Ka5 Kd3 Ka4 Kc4 Ka5 Qb5#;
3Q4/8/7q/8/2P5/p6p/K1p1B2P/2k5 w - - acn 295347; acs 0; bm Qd4; ce 32754; dm 7; pv Qd4 Qg5 Qc3 Qg1 Qa5 Qd1 Qg5+ Qd2 Qg1+ Qd1 Qe3+ Qd2 Qxa3#;
3Q4/8/6K1/8/8/2k5/8/8 w - - acn 2762; acs 0; bm Kf5; ce 32754; dm 7; pv Kf5 Kb3 Qd4 Ka3 Qb6 Ka4 Ke5 Ka3 Kd4 Ka4 Kc4 Ka3 Qb3#;
3Q4/8/6K1/8/2k5/8/8/8 w - - acn 2789; acs 0; bm Kf5; ce 32754; dm 7; pv Kf5 Kb4 Qd4+ Kb5 Ke6 Ka5 Qb2 Ka6 Kd6 Ka7 Kc6 Ka8 Qb7#;
3Q4/8/6K1/8/2k4p/7P/8/8 w - - acn 1001921; acs 1; bm Kf5; ce 32754; dm 7; pv Kf5 Kb4 Qd4+ Kb5 Ke6 Ka5 Qb2 Ka6 Kd6 Ka7 Kc6 Ka8 Qb7#;
3Q4/8/6K1/2k5/8/8/8/8 w - - acn 29741; acs 0; bm Kf5; ce 32754; dm 7; pv Kf5 Kb5 Qc7 Kb4 Ke4 Ka4 Qb7 Ka5 Kd4 Ka4 Kc4 Ka5 Qb5#;
3Q4/8/5K2/8/8/2k5/8/8 w - - acn 8330; acs 0; bm Ke5 Ke6 Kf5 Qd1; ce 32754; dm 7; pv Qd1 Kc4 Ke6 Kb4 Kd5 Kc3 Kc5 Kb2 Kc4 Ka2 Kc3 Ka3 Qb3#;
3Q4/8/5K2/8/2k5/8/8/8 w - - acn 61121; acs 0; bm Ke5 Ke6 Kf5 Qd1 Qd2; ce 32754; dm 7; pv Qd2 Kc5 Qc3+ Kd5 Qb4 Kc6 Ke6 Kc7 Qb5 Kc8 Kd6 Kd8 Qb8#;
3Q4/8/4k3/8/8/8/8/6K1 w - - acn 246360; acs 0; bm Kf2 Kg2 Kh2; ce 32754; dm 7; pv Kg2 Ke5 Kg3 Ke6 Kf4 Kf7 Kf5 Kg7 Qd7+ Kg8 Kf6 Kh8 Qg7#;
3Q4/8/3K4/8/8/3k4/8/8 w - - acn 13786; acs 0; bm Kc5+ Kd5 Ke5+ Ke6+ Qa5 Qe7 Qe8 Qh4; ce 32754; dm 7; pv Ke6+ Ke3 Ke5 Kf3 Qd3+ Kf2 Kf4 Kg2 Qd2+ Kg1 Kf3 Kh1 Qg2#;
3Q4/8/3K4/8/3k4/8/8/8 w - - acn 20702; acs 0; bm Ke6+ Qa5 Qe7 Qe8 Qh4+; ce 32754; dm 7; pv Qh4+ Kd3 Kd5 Ke3 Kc4 Kf3 Kd3 Kg2 Ke3 Kg1 Kf3 Kf1 Qh1#;
3Q4/8/2p5/4k3/8/3PK3/8/8 w - - acn 2011311; acs 2; bm Qd4+ Qd7 d4+; ce 32754; dm 7; pv d4+ Kf5 Qe8 c5 Qf7+ Kg5 Ke4 c4 Qg7+ Kh5 Kf4 c3 Qg5#;
3Q4/8/2K5/8/8/4k3/8/8 w - - acn 13725; acs 0; bm Kc5 Kd5 Qh4; ce 32754; dm 7; pv Qh4 Kf3 Kc5 Ke3 Kc4 Kf3 Kd3 Kg2 Ke3 Kg1 Kf3 Kf1 Qh1#;
3Q4/8/2K5/8/4k3/8/8/8 w - - acn 23330; acs 0; bm Kc5 Qf6 Qf8 Qh4+; ce 32754; dm 7; pv Qh4+ Ke3 Kc5 Kf3 Kd4 Ke2 Qg4+ Kf2 Kd3 Kf1 Ke3 Ke1 Qg1#;
3Q4/8/1K6/8/5k2/8/8/8 w - - acn 168470; acs 0; bm Kc5; ce 32754; dm 7; pv Kc5 Kg4 Qf6 Kg3 Kd4 Kh3 Qg6 Kh4 Ke4 Kh3 Kf3 Kh4 Qg4#;
3Q4/7K/8/8/4k3/8/8/8 w - - acn 2080; acs 0; bm Kg6 Qd2; ce 32754; dm 7; pv Qd2 Ke5 Kg7 Ke6 Qd4 Kf5 Qe3 Kg4 Kg6 Kh4 Kf5 Kh5 Qg5#;
3Q4/7K/8/4k3/8/8/8/8 w - - acn 23427; acs 0; bm Kg6 Qd1 Qd2 Qd3; ce 32754; dm 7; pv Qd3 Ke6 Qd4 Ke7 Qd5 Ke8 Qd6 Kf7 Qe5 Kf8 Kg6 Kg8 Qe8#;
3Q4/6p1/2K3k1/8/8/7P/8/8 w - - acn 2589267; acs 2; bm Kd5 Qa5 Qb8 Qd4 Qd5 Qd6+ Qf8 Qh4; ce 32754; dm 7; pv Qd6+ Kg5 Kd5 g6 Qe5+ Kh6 Ke6 g5 Kf6 g4 Qg5+ Kh7 Qg7#;
3Q4/6K1/8/8/8/4k3/8/8 w - - acn 3703; acs 0; bm Kf6 Kg6 Qd1; ce 32754; dm 7; pv Qd1 Ke4 Kg6 Ke5 Qd3 Ke6 Qd4 Ke7 Qd5 Ke8 Kf6 Kf8 Qd8#;
3Q4/6K1/8/8/4k3/8/8/8 w - - acn 54969; acs 0; bm Kf6 Kg6 Qd2; ce 32754; dm 7; pv Qd2 Ke5 Qd3 Ke6 Qd4 Kf5 Qe3 Kg4 Kg6 Kh4 Kf5 Kh5 Qg5#;
3Q4/5p1p/4pbpk/3p4/1p4PP/1P6/6BK/1q6 w - - acn 109221; acs 0; bm Qxf6; ce 32754; dm 7; pv Qxf6 Qd1 g5+ Kh5 Bf3+ Qxf3 Qxf3+ Kxh4 Qg3+ Kh5 Kh3 h6 Qh4#;
3Q4/5K2/8/8/8/4k3/8/8 w - - acn 35603; acs 0; bm Ke6 Kf6 Kg6 Qd1; ce 32754; dm 7; pv Qd1 Ke4 Kf6 Ke3 Kf5 Kf2 Kf4 Kg2 Qd2+ Kg1 Kf3 Kh1 Qg2#;
3Q4/5K2/8/8/8/2k5/8/8 w - - acn 34529; acs 0; bm Ke6 Qd1; ce 32754; dm 7; pv Qd1 Kc4 Ke6 Kb4 Kd5 Kc3 Kc5 Kb2 Kc4 Ka2 Kc3 Ka3 Qb3#;
3Q4/5K2/8/2k5/8/8/8/8 w - - acn 135220; acs 0; bm Ke6 Ke7 Ke8 Qd1 Qd2 Qd3 Qh4; ce 32754; dm 7; pv Qd3 Kc6 Qc4+ Kb6 Ke7 Kb7 Qb5+ Kc7 Ke6 Kc8 Kd6 Kd8 Qb8#;
3Q4/4R2p/1pq2p1k/6p1/8/6PP/1rp2P1K/8 b - - acn 70739; acs 0; bm Qh1+; ce 32754; dm 7; pv Qh1+ Kxh1 c1=Q+ Qd1 Qxd1+ Kg2 Qd5+ Re4 Qxe4+ Kh2 Rxf2+ Kg1 Qe1#;
3Q4/4K3/8/8/8/4k3/8/8 w - - acn 49094; acs 0; bm Ke6 Kf6 Qd1; ce 32754; dm 7; pv Qd1 Ke4 Ke6 Kf4 Qe1 Kg4 Qe3 Kh5 Qg3 Kh6 Kf6 Kh7 Qg7#;
3Q4/4K3/8/8/4k3/8/8/8 w - - acn 196063; acs 0; bm Ke6 Kf6 Qd2; ce 32754; dm 7; pv Qd2 Kf3 Qe1 Kf4 Ke6 Kg4 Qe3 Kh5 Qg3 Kh6 Kf6 Kh7 Qg7#;
3Q4/2p3p1/4k2p/p7/2pBP2P/2P3P1/1r2q3/6K1 w - - acn 23698; acs 0; bm Qd5+; ce 32754; dm 7; pv Qd5+ Ke7 Bc5+ Ke8 Qe6+ Kd8 Be7+ Ke8 Bd6+ Kd8 Qe7+ Kc8 Qxc7#;
3Q4/2K5/8/8/8/1pN5/bp6/k7 w - - acn 797108; acs 1; bm Nb1; ce 32754; dm 7; pv Nb1 Bxb1 Qa8+ Ba2 Qh8 Kb1 Qc3 Ka1 Qd4 Bb1 Qg1 Ka2 Qa7#;
3Q4/2K5/8/5k2/8/8/8/8 w - - acn 227722; acs 0; bm Qd3+ Qd4 Qh4; ce 32754; dm 7; pv Qd3+ Kg5 Qf3 Kg6 Kd7 Kh6 Qg3 Kh7 Ke7 Kh8 Kf7 Kh7 Qg7#;
3Q4/2K5/8/5k2/2P5/8/8/8 w - - acn 1017551; acs 1; bm Qd3+ Qd4 Qh4; ce 32754; dm 7; pv Qd3+ Kg5 Qf3 Kg6 Kd7 Kh6 Qg3 Kh7 Ke7 Kh8 Kf7 Kh7 Qg7#;
3Q4/1q6/4ppk1/2Kp1N2/R7/3P1r2/4nP1b/3b4 w - - acn 243844; acs 0; bm Qg8+; ce 32754; dm 7; pv Qg8+ Kxf5 Qg4+ Ke5 Qh5+ Rf5 f4+ Bxf4 Qxe2+ Bxe2 Re4+ dxe4 d4#;
