rrb5/BRpp1p2/K1k1n2R/Pn1p1p2/BQ1p1P2/3P4/8/8 w - - acn 3; acs 0; bm Bxb5# Qc5#; ce 32766; dm 1; pv Bxb5#;
1N5n/8/1R1R2p1/2P1k1pp/r1p2r2/4P1BQ/pp1PP3/qb2K2B b - - acn 4; acs 0; bm Bc2# Bd3# Be4# Bf5#; ce 32766; dm 1; pv Bc2#;
1N5n/4R3/5k2/3r3b/1p3p2/2p5/K2n4/B7 b - - acn 1; acs 0; bm Ra5#; ce 32766; dm 1; pv Ra5#;
1N5n/2pp4/2r3P1/4kr2/3p1nq1/8/8/5K2 b - - acn 2; acs 0; bm Nd3#; ce 32766; dm 1; pv Nd3#;
1N5n/1p1B1pp1/1p4pr/bp4Kb/kp3PpP/1N4R1/1P6/8 b - - acn 1; acs 0; bm f6#; ce 32766; dm 1; pv f6#;
1N5k/n7/bN3N1r/1P3p1p/5P2/5B2/3P2Rq/2B2K2 w - - acn 1; acs 0; bm Rg8#; ce 32766; dm 1; pv Rg8#;
1N5k/PK2Pp2/Qp3P2/1p6/b7/1p6/1P4PB/1B5R w - - acn 2; acs 0; bm e8=Q# e8=R#; ce 32766; dm 1; pv e8=Q#;
1N5k/8/p2P1p2/P1q4b/5K1p/1p6/8/8 b - - acn 1; acs 0; bm Qe5#; ce 32766; dm 1; pv Qe5#;
1N5k/8/8/8/1Bp3Pp/8/5pK1/7r b - - acn 1; acs 0; bm f1=Q#; ce 32766; dm 1; pv f1=Q#;
1N5k/8/6K1/8/7P/8/8/3R3N w - - acn 1; acs 0; bm Rd8#; ce 32766; dm 1; pv Rd8#;
1N5k/8/5R2/p3B3/6R1/1P6/8/3K4 w - - acn 2; acs 0; bm Rf7# Rh6#; ce 32766; dm 1; pv Rf7#;
1N5k/8/1n6/2p5/b3P1R1/1p3PR1/5K2/7B w - - acn 2; acs 0; bm Rh3# Rh4#; ce 32766; dm 1; pv Rh4#;
1N5k/7p/7P/2PN2rR/4p3/p1p4K/8/4r3 b - - acn 1; acs 0; bm Rh1#; ce 32766; dm 1; pv Rh1#;
1N5k/7n/8/3B2R1/2P5/n6Q/8/2K2n2 w - - acn 3; acs 0; bm Rg8#; ce 32766; dm 1; pv Rg8#;
1N5k/7b/P2p1P2/3P3R/2B1p3/4rn2/3r2P1/RK6 b - - acn 1; acs 0; bm Re1#; ce 32766; dm 1; pv Re1#;
1N5k/6qp/7r/p2R4/1b4P1/8/5P2/n4RK1 b - - acn 1; acs 0; bm Qxg4#; ce 32766; dm 1; pv Qxg4#;
1N5k/6n1/1p2pp1r/PpP4P/3P2pK/5b2/3p4/4N3 b - - acn 3; acs 0; bm Nf5# dxe1=B# dxe1=Q#; ce 32766; dm 1; pv dxe1=Q#;
1N5k/6R1/p4pK1/3p4/8/4B3/4B3/2b1Q1R1 w - - acn 2; acs 0; bm Qh4# Rh1#; ce 32766; dm 1; pv Rh1#;
1N5k/5R2/B5K1/p5P1/Pn5P/3pn3/8/8 w - - acn 1; acs 0; bm Rf8#; ce 32766; dm 1; pv Rf8#;
1N5k/5Q2/8/1P6/N7/2R5/5K2/8 w - - acn 2; acs 0; bm Rc8# Rh3#; ce 32766; dm 1; pv Rc8#;
1N5k/5Q2/6P1/1pp5/4B1n1/3K2b1/8/8 w - - acn 3; acs 0; bm Qf8# Qh7# g7#; ce 32766; dm 1; pv g7#;
1N5k/5P2/6PP/8/4pP1r/7R/8/1B1Kn3 w - - acn 2; acs 0; bm f8=Q# f8=R#; ce 32766; dm 1; pv f8=Q#;
1N5k/5P2/5RP1/n7/8/2P4b/8/3K4 w - - acn 1; acs 0; bm f8=Q#; ce 32766; dm 1; pv f8=Q#;
1N5k/5P2/3pB1Pr/p1p2n2/P1P5/N2p4/b3P1KQ/6NR w - - acn 1; acs 0; bm f8=Q#; ce 32766; dm 1; pv f8=Q#;
1N5k/4R3/7p/8/1K3b1P/6p1/6P1/3R4 w - - acn 1; acs 0; bm Rd8#; ce 32766; dm 1; pv Rd8#;
1N5k/3q4/6K1/1p2r2p/R2b3N/3r3p/8/8 b - - acn 2; acs 0; bm Qe6# Qg7#; ce 32766; dm 1; pv Qe6#;
1N5k/3P4/5PK1/5n2/1p6/8/8/8 w - - acn 2; acs 0; bm d8=Q# d8=R#; ce 32766; dm 1; pv d8=Q#;
1N5k/3N3p/1b1NR2P/n2P4/8/p6K/P6B/8 w - - acn 1; acs 0; bm Re8#; ce 32766; dm 1; pv Re8#;
1N5k/2P5/1P6/p3b1qr/7P/7K/8/8 b - - acn 2; acs 0; bm Qg3# Rxh4#; ce 32766; dm 1; pv Rxh4#;
1N5k/1q6/3n4/8/7P/3p1p2/3p1P2/3KbR2 b - - acn 2; acs 0; bm Qb1# Qb3#; ce 32766; dm 1; pv Qb1#;
1N5k/1q3P2/b6K/3p3R/4p3/8/7B/1n6 w - - acn 4; acs 0; bm Be5# Kg6# f8=Q# f8=R#; ce 32766; dm 1; pv f8=Q#;
1N5k/1nR5/6B1/7p/3P4/p7/1q5p/2b1K3 b - - acn 2; acs 0; bm h1=Q# h1=R#; ce 32766; dm 1; pv h1=Q#;
1N5k/1R3P2/8/5P1p/p1r4P/P3p3/8/3K4 w - - acn 2; acs 0; bm f8=Q# f8=R#; ce 32766; dm 1; pv f8=Q#;
1N5k/1P6/2P5/3P3p/3Rp1p1/p5P1/3np3/2b1KR2 b - - acn 1; acs 0; bm exf1=Q#; ce 32766; dm 1; pv exf1=Q#;
1N5b/pp1N3K/2npp1B1/2BkP2R/2pp4/Q7/P7/8 w - - acn 2; acs 0; bm Qf3#; ce 32766; dm 1; pv Qf3#;
1N5b/p4b2/8/3kn1N1/1Bp5/2Kp4/3P2P1/Q7 w - - acn 1; acs 0; bm Qa5#; ce 32766; dm 1; pv Qa5#;
1N5b/p4b2/8/3kn1N1/1Bp5/2Kp4/3P2P1/Q7 b - - acn 5; acs 0; bm Nc6# Nd7# Nf3# Ng4# Ng6#; ce 32766; dm 1; pv Nc6#;
1N5b/PNk2pn1/P7/P4BP1/8/5Q2/P1p5/K1R5 w - - acn 5; acs 0; bm Qc3# Qc6# Qf4# Qg3# Rxc2#; ce 32766; dm 1; pv Rxc2#;
1N5b/BR1K3Q/4p3/3k4/3P2N1/1P6/8/2n1nb2 w - - acn 1; acs 0; bm Ne3#; ce 32766; dm 1; pv Ne3#;
1N5b/8/R3N3/1kPB4/pB1n4/2Kp3q/3P4/2R2b2 w - - acn 4; acs 0; bm Bc4# Nc7# Ra5# Rb6#; ce 32766; dm 1; pv Nc7#;
1N5b/8/R3N3/1kPB4/pB1n4/2Kp3q/3P4/2R2b2 b - - acn 7; acs 0; bm Ne2# Nxe6#; ce 32766; dm 1; pv Nxe6#;
1N5b/4K3/2R4p/1n2k2p/2rR1pBQ/p3NP1P/qP6/1b6 w - - acn 1; acs 0; bm Rd5#; ce 32766; dm 1; pv Rd5#;
1N5b/3p3p/5n1p/RNBk1Kp1/2b3r1/1n1pQp1q/B7/r7 w - - acn 3; acs 0; bm Nc3# Nc7# Qe5#; ce 32766; dm 1; pv Nc3#;
1N5b/3p3p/5n1p/RNBk1Kp1/2b3r1/1n1pQp1q/B7/r7 b - - acn 7; acs 0; bm Rd4# Re4# Rf4# Rg2# Rg3# Rgg1# Rh4#; ce 32766; dm 1; pv Rh4#;
1N5b/3Q4/5k2/6p1/R3B1p1/3PK1B1/4P1P1/1N5R w - - acn 3; acs 0; bm Ra6# Rf1# Rh6#; ce 32766; dm 1; pv Rh6#;
1N5b/3N4/4p3/k3p3/bn2Kp2/1Q3P2/1PP4r/R3BB2 w - - acn 5; acs 0; bm Bxb4# Nc6# Qxa4# Qxb4# Rxa4#; ce 32766; dm 1; pv Nc6#;
1N5b/3N4/4p3/k3p3/bn2Kp2/1Q3P1r/1PP5/R3BB2 w - - acn 5; acs 0; bm Bxb4# Nc6# Qxa4# Qxb4# Rxa4#; ce 32766; dm 1; pv Nc6#;
1N5b/2P3Pr/1p2k1PR/pNB3Q1/p7/P5p1/6P1/7K w - - acn 5; acs 0; bm Nd4# c8=B# c8=Q#; ce 32766; dm 1; pv c8=Q#;
1N5b/2Brp3/8/1kpNn2p/7r/pPK2p1p/q1P5/nb6 b - - acn 3; acs 0; bm Qxc2#; ce 32766; dm 1; pv Qxc2#;
1N5b/1n4rp/3ppr2/pQpkn2R/B4p2/1PKp1P2/pP1P2N1/1b6 w - - acn 2; acs 0; bm Qc4# Qc6#; ce 32766; dm 1; pv Qc4#;
1N5b/1R3bkB/1P6/2Q2pN1/5P2/8/p7/K6R w - - acn 1; acs 0; bm Rxf7#; ce 32766; dm 1; pv Rxf7#;
1N5b/1R3b1B/1P3k2/2Q2pN1/5P2/8/p7/K6R w - - acn 5; acs 0; bm Qc3# Qd4# Qe5# Rxf7#; ce 32766; dm 1; pv Rxf7#;
1N5b/1N3pP1/1p3R1B/1k6/p1n5/P2B4/1P6/1K6 w - - acn 1; acs 0; bm Rf5#; ce 32766; dm 1; pv Rf5#;
1N5R/p1PPknQ1/3bN2R/q1B4p/3p3p/4pK2/4p1n1/4rb2 w - - acn 8; acs 0; bm Qf6# Qf8# Re8# c8=N# d8=B# d8=Q#; ce 32766; dm 1; pv d8=Q#;
1N5R/8/n2k1b2/1r5p/1p1p1K1P/3q4/8/1B4R1 b - - acn 3; acs 0; bm Qe3# Rf5#; ce 32766; dm 1; pv Rf5#;
1N5R/8/4k3/p2ppb2/3q1b2/2r4n/8/K3R3 b - - acn 2; acs 0; bm Ra3#; ce 32766; dm 1; pv Ra3#;
1N5R/8/1P1P4/R7/3K1k2/P4pp1/8/6r1 w - - acn 1; acs 0; bm Rh4#; ce 32766; dm 1; pv Rh4#;
1N5R/5Q1K/4q2R/2Bk4/3P4/3B4/8/8 w - - acn 8; acs 0; bm Qxe6# Rd8# Rh5#; ce 32766; dm 1; pv Rd8#;
1N5R/5Q1K/4q2R/2Bk4/3P4/3B4/8/8 b - - acn 1; acs 0; bm Qxf7#; ce 32766; dm 1; pv Qxf7#;
1N5R/4k3/5pP1/Qp3K1p/5B2/p1pn1r2/5n2/qb6 w - - acn 3; acs 0; bm Qa7# Qc7# Qd8#; ce 32766; dm 1; pv Qc7#;
1N5R/4k3/5pP1/Qp3K1p/5B2/p1pn1r2/5n2/qb6 b - - acn 8; acs 0; bm Nb2# Nb4# Nc1# Nc5# Ne1# Ne5# Nxf4# Rxf4#; ce 32766; dm 1; pv Nb4#;
1N5R/4B3/8/3kpp2/p4Pb1/1PK1R1P1/8/3B4 w - - acn 1; acs 0; bm Rxe5#; ce 32766; dm 1; pv Rxe5#;
1N5R/2r3r1/3k1P2/6Q1/P1P1p3/3p4/6n1/NRb4K w - - acn 1; acs 0; bm Qd5#; ce 32766; dm 1; pv Qd5#;
1N5Q/8/6k1/1B6/4p1K1/3pp1P1/2n5/6b1 w - - acn 1; acs 0; bm Be8#; ce 32766; dm 1; pv Be8#;
1N5Q/8/2b5/k1p1B2B/p1P1pPp1/P3P3/P3K2P/1R6 w - - acn 3; acs 0; bm Bc3# Bc7# Qd8#; ce 32766; dm 1; pv Bc7#;
1N5Q/8/1qb2p2/R4P2/P1k5/K7/6p1/4r3 b - - acn 2; acs 0; bm Qb3# Ra1#; ce 32766; dm 1; pv Ra1#;
1N5Q/5q2/3p4/2bn4/p7/8/B7/2k1K3 b - - acn 1; acs 0; bm Qf2#; ce 32766; dm 1; pv Qf2#;
1N5Q/5kp1/n7/2p1B1P1/N1Pp1Pq1/2RP4/6r1/3RK3 b - - acn 1; acs 0; bm Qe2#; ce 32766; dm 1; pv Qe2#;
1N5Q/5k1b/r2P1n2/8/pr3R2/P1p2p1P/5K2/8 w - - acn 1; acs 0; bm Rxf6#; ce 32766; dm 1; pv Rxf6#;
1N5Q/3R1P1p/4k2p/2p1r2B/2K2pP1/5p2/5P2/8 w - - acn 1; acs 0; bm f8=N#; ce 32766; dm 1; pv f8=N#;
1N5Q/1p3p2/1Np2P1p/2P4p/3Pk3/6pP/p1PP2P1/rb4KR b - - acn 1; acs 0; bm Bxc2#; ce 32766; dm 1; pv Bxc2#;
1N5N/R1Q3p1/4k3/1PP1P1P1/prp3P1/bp2P3/1npP4/2K4B w - - acn 3; acs 0; bm Qd6# Qe7# Ra6#; ce 32766; dm 1; pv Ra6#;
1N5N/R1Q3p1/4k3/1PP1P1P1/prp3P1/bp2P3/1npP4/2K4B b - - acn 2; acs 0; bm Nd1# Nd3#; ce 32766; dm 1; pv Nd3#;
1N5N/B6Q/p3k3/5R1B/1pPRP2P/q4pP1/1pPp3p/2bK1b1r w - - acn 3; acs 0; bm Qd7# Qf7#; ce 32766; dm 1; pv Qf7#;
1N5N/B6Q/p3k3/5R1B/1pPRP2P/q4pP1/1pPp3p/2bK1b1r b - - acn 5; acs 0; bm Bd3# Be2# Bg2# Bh3# Bxc4#; ce 32766; dm 1; pv Bg2#;
1N5N/4p3/1q1pk3/1b6/8/b4r2/pB1Pp3/rBK5 b - - acn 2; acs 0; bm Qc5# axb1=Q#; ce 32766; dm 1; pv axb1=Q#;
1N5N/2b5/P3k1p1/4rp2/3K4/7B/n3b3/B7 b - - acn 1; acs 0; bm Bb6#; ce 32766; dm 1; pv Bb6#;
1N5K/k1p3PB/6pR/8/8/1R6/8/b6Q w - - acn 4; acs 0; bm Qb7# Qxa1#; ce 32766; dm 1; pv Qb7#;
1N5K/k1p3PB/6p1/8/8/1R6/8/b6Q w - - acn 3; acs 0; bm Qb7# Qxa1#; ce 32766; dm 1; pv Qb7#;
1N5K/B7/P5q1/2rk3b/6p1/1P2P3/8/8 b - - acn 1; acs 0; bm Rc8#; ce 32766; dm 1; pv Rc8#;
1N5K/8/8/4kp2/7P/6r1/8/r1q4n b - - acn 1; acs 0; bm Qh6#; ce 32766; dm 1; pv Qh6#;
1N5K/4ppQ1/1PB2n2/b4Np1/1k4P1/1Pn5/2P5/2B5 w - - acn 1; acs 0; bm Na6#; ce 32766; dm 1; pv Na6#;
1N5K/4Q3/6kp/4R3/7r/8/8/8 w - - acn 2; acs 0; bm Qe6# Qg7#; ce 32766; dm 1; pv Qe6#;
1N5K/4Pk1P/4R3/8/8/8/8/8 w - - acn 1; acs 0; bm e8=Q#; ce 32766; dm 1; pv e8=Q#;
1N5K/3n2B1/8/4r3/8/P5p1/2Q2RP1/kB6 w - - acn 2; acs 0; bm Qa2# Qb2#; ce 32766; dm 1; pv Qa2#;
1N5K/2Q3P1/1p3q2/1B5R/3kb2R/1P6/2PP4/8 w - - acn 3; acs 0; bm Qc3# Qc4# c3#; ce 32766; dm 1; pv c3#;
1N5K/2Q3P1/1p3B2/1B2q2R/3kb2R/1P6/2PP4/8 w - - acn 5; acs 0; bm Qc4# Qd6# Qxe5#; ce 32766; dm 1; pv Qc4#;
1N5B/pq6/P7/p2B2N1/2P5/3kP3/3pR3/1R1K3Q w - - acn 1; acs 0; bm Qe4#; ce 32766; dm 1; pv Qe4#;
1N5B/N3k3/8/P6p/7P/4nP2/1pr5/4K3 b - - acn 2; acs 0; bm b1=Q# b1=R#; ce 32766; dm 1; pv b1=Q#;
1N5B/8/4k3/7p/8/8/4q3/6bK b - - acn 1; acs 0; bm Qh2#; ce 32766; dm 1; pv Qh2#;
1N5B/8/2r5/8/p6p/P4k1P/2pP4/4K3 b - - acn 2; acs 0; bm c1=Q# c1=R#; ce 32766; dm 1; pv c1=Q#;
1N5B/6q1/3p4/3P3p/5P1P/1P4p1/2Q3R1/4k1K1 w - - acn 5; acs 0; bm Qb1# Qc1# Qd2# Qe2# Re2#; ce 32766; dm 1; pv Re2#;
1N5B/6N1/p5Q1/p4b1R/K2k2BR/1P6/1p1p1P2/1rb5 b - - acn 1; acs 0; bm Ra1#; ce 32766; dm 1; pv Ra1#;
1N5B/2prp3/6p1/p1Q1np1b/8/1p1k4/1pn1R3/qB1KR2r b - - acn 3; acs 0; bm Bxe2# Qxb1# Rxe1#; ce 32766; dm 1; pv Bxe2#;
1N5B/2pr4/2n2q2/1pK1kB1R/b4pn1/5r2/5Q1N/6b1 w - - acn 4; acs 0; bm Nxc6# Nxd7# Nxf3# Nxg4#; ce 32766; dm 1; pv Nxf3#;
1N5B/2pr4/2n2q2/1pK1kB1R/b4pn1/5r2/5Q1N/6b1 b - - acn 3; acs 0; bm Bxf2# Rc3# Rd5#; ce 32766; dm 1; pv Bxf2#;
1N5B/2p3r1/2P5/R4p1P/qpPk1p1K/pR3P1P/N3B2Q/8 w - - acn 6; acs 0; bm Bxg7# Qf2# Qg1# Qxf4# Rd5#; ce 32766; dm 1; pv Bxg7#;
1N5B/1q1BK2R/p5R1/P4Q1n/7k/8/6PP/4N3 w - - acn 11; acs 0; bm Bf6# Qf2# Qf4# Qf6# Qg4# Qg5# Qh3# Qxh5# Rg4# Rxh5# g3#; ce 32766; dm 1; pv g3#;
1N4rr/5k1n/8/P2PpP2/3P3p/5p1q/N4K2/2b4r b - - acn 5; acs 0; bm Qf1# Qg2# Qg3# Rf1# Rg2#; ce 32766; dm 1; pv Rf1#;
1N4rk/5p1p/7K/1np1q3/p6P/5r2/B2P4/2n2b2 b - - acn 2; acs 0; bm Rf6# Rg6#; ce 32766; dm 1; pv Rg6#;
1N4rk/2b2Q2/8/3N4/5p2/p3n3/8/2K3R1 w - - acn 4; acs 0; bm Qh5# Qxg8# Rh1# Rxg8#; ce 32766; dm 1; pv Rxg8#;
1N4rN/1PP1p1P1/3PkP1P/2K1n1P1/3B2P1/1r6/B7/4R3 w - - acn 4; acs 0; bm Bxb3# Rxe5#; ce 32766; dm 1; pv Bxb3#;
1N4rN/1PP1p1P1/3PkP1P/2K1n1P1/3B2P1/1r6/B7/4R3 b - - acn 1; acs 0; bm exd6#; ce 32766; dm 1; pv exd6#;
1N4r1/p7/1p1P4/8/3p1P2/n2K1k2/P1P5/1R3qR1 w - - acn 1; acs 0; bm Rbxf1#; ce 32766; dm 1; pv Rbxf1#;
1N4r1/npP2p2/b1R2P2/qN1k1Kp1/BB4P1/2Q2R2/8/8 w - - acn 11; acs 0; bm Bb3# Qb3# Qc4# Qc5# Qd2# Qd3# Qd4# Qe5# Rc5# Rd3# Rd6#; ce 32766; dm 1; pv Bb3#;
1N4r1/n7/2p2QpB/3pp1RP/3b4/1Pp1k1P1/2B2p1p/1N1K1b1r w - - acn 4; acs 0; bm Rxe5# Rxg6#; ce 32766; dm 1; pv Rxe5#;
1N4r1/n7/2p2QpB/3pp1RP/3b4/1Pp1k1P1/2B2p1p/1N1K1b1r b - - acn 7; acs 0; bm Ba6# Bb5# Bc4# Bd3# Be2# Bg2# Bh3#; ce 32766; dm 1; pv Bg2#;
1N4r1/k7/6n1/1p2ppr1/8/P7/3N3K/8 b - - acn 1; acs 0; bm Rh8#; ce 32766; dm 1; pv Rh8#;
1N4r1/b2K4/8/P2pk3/1p1np2q/1P2P3/2n1B3/3Q1R2 b - - acn 1; acs 0; bm Qd8#; ce 32766; dm 1; pv Qd8#;
1N4r1/8/8/7K/4p3/2r5/8/7k b - - acn 1; acs 0; bm Rh3#; ce 32766; dm 1; pv Rh3#;
1N4r1/8/7K/8/6k1/8/1N6/3n2r1 b - - acn 2; acs 0; bm Rh1#; ce 32766; dm 1; pv Rh1#;
1N4r1/8/3N4/3k4/R3p3/1pp5/4r3/K7 b - - acn 2; acs 0; bm Re1# Rg1#; ce 32766; dm 1; pv Rg1#;
1N4r1/4p2R/3Pkp2/p1P3p1/P7/1r1Q1P2/3P4/1nB1K1N1 w - - acn 2; acs 0; bm Qe4# Rxe7#; ce 32766; dm 1; pv Rxe7#;
1N4r1/2Q4p/1bB1k2P/5p2/pn6/7K/4P2N/B6R w - - acn 1; acs 0; bm Qd7#; ce 32766; dm 1; pv Qd7#;
1N4r1/1n2k3/1pP2p1Q/2P5/n3bB1P/P1N5/5qP1/3KR3 b - - acn 1; acs 0; bm Qc2#; ce 32766; dm 1; pv Qc2#;
1N4r1/1R6/P7/2p1b1p1/2P1B2p/k1p4P/q5b1/B2K2R1 b - - acn 1; acs 0; bm Qd2#; ce 32766; dm 1; pv Qd2#;
1N4qb/4pb2/1p1r4/1k6/pr1R4/8/3N4/K1n5 b - - acn 1; acs 0; bm Bxd4#; ce 32766; dm 1; pv Bxd4#;
1N4q1/r2BK1p1/P5Pr/4kNRP/4P1P1/3PPP2/1R6/B7 w - - acn 22; acs 0; bm Nc6# Nd4# Nd6# Ng3# Nh4# Nxg7# Nxh6# Ra2# Rb1# Rb3# Rb4# Rb5# Rb6# Rb7# Rc2# Rd2# Re2# Rf2# Rg2# Rh2# d4# f4#; ce 32766; dm 1; pv f4#;
1N4nr/4k3/P3p3/2p2Bp1/6R1/2p1P3/1B3p1q/RN1K4 b - - acn 2; acs 0; bm f1=Q# f1=R#; ce 32766; dm 1; pv f1=Q#;
1N4nr/3Q3p/1nP2p2/R7/2PN3k/5PR1/P4K2/2q4B w - - acn 5; acs 0; bm Qg4# Qh3# Rh3#; ce 32766; dm 1; pv Rh3#;
1N4nq/Q2B3b/3p1p2/1P1kp2R/4Rp2/prpK3N/2P1P1n1/b7 w - - acn 4; acs 0; bm Qd4#; ce 32766; dm 1; pv Qd4#;
1N4nq/Q2B3b/3p1p2/1P1kp2R/4Rp2/prpK3N/2P1P1n1/b7 b - - acn 2; acs 0; bm Bxe4# Ne1#; ce 32766; dm 1; pv Ne1#;
1N4n1/r3k3/4Pp1p/1B3P1P/8/1pp2p2/r7/3K2b1 b - - acn 1; acs 0; bm Ra1#; ce 32766; dm 1; pv Ra1#;
1N4n1/q6B/8/1k4b1/8/1p1K4/1P5r/5n2 b - - acn 1; acs 0; bm Qe3#; ce 32766; dm 1; pv Qe3#;
1N4n1/ppp5/1Pp3Q1/2K1k3/1Pp1N3/3b1R2/2rP4/8 w - - acn 3; acs 0; bm Nd7# Qf5#; ce 32766; dm 1; pv Nd7#;
1N4n1/ppp5/1Pp3Q1/2K1k3/1Pp1N3/3b1R2/2rP4/8 b - - acn 2; acs 0; bm axb6# cxb6#; ce 32766; dm 1; pv cxb6#;
1N4n1/k7/1R6/8/7R/8/P5K1/Q5BB w - - acn 1; acs 0; bm Ra4#; ce 32766; dm 1; pv Ra4#;
1N4n1/8/6k1/8/R3r1PQ/8/1B4Rp/5KN1 w - - acn 1; acs 0; bm Qh5#; ce 32766; dm 1; pv Qh5#;
1N4n1/8/2rP2kp/n1R2r1R/p2K3P/2P2b2/4q3/8 b - - acn 4; acs 0; bm Nb3# Qd2# Qe4# Rf4#; ce 32766; dm 1; pv Nb3#;
1N4n1/7b/2Pk4/p7/2pK4/1NP5/8/4r3 b - - acn 1; acs 0; bm Re4#; ce 32766; dm 1; pv Re4#;
1N4n1/6b1/2N5/pPk5/P3P1B1/N7/3R2KR/8 w - - acn 1; acs 0; bm Nd7#; ce 32766; dm 1; pv Nd7#;
1N4n1/3b4/8/6k1/8/7p/4p2P/7K b - - acn 2; acs 0; bm e1=Q# e1=R#; ce 32766; dm 1; pv e1=Q#;
1N4n1/2P4Q/ppp2P2/pB6/K4P1p/B2p4/2k1pp1r/1N1bb2r w - - acn 2; acs 0; bm Bxd3# Qxd3#; ce 32766; dm 1; pv Bxd3#;
1N4n1/2P4Q/ppp2P2/pB6/K4P1p/B2p4/2k1pp1r/1N1bb2r b - - acn 3; acs 0; bm Kxb1# axb5# cxb5#; ce 32766; dm 1; pv cxb5#;
1N4n1/1k2p1br/2R3p1/p4pP1/Pp3P2/1P2K2R/2q5/6n1 b - - acn 2; acs 0; bm Qe2# Rxh3#; ce 32766; dm 1; pv Rxh3#;
1N4n1/1b6/1k3N1R/R7/r1P5/8/p2q3r/K7 b - - acn 7; acs 0; bm Qb2# Qc1# Qc3# Qd1# Qd4# Qe1#; ce 32766; dm 1; pv Qc1#;
1N4n1/1b6/1k3N1R/R7/r1P5/8/3q3r/6K1 b - - acn 4; acs 0; bm Qf2# Qg2#; ce 32766; dm 1; pv Qf2#;
1N4kr/r7/b2p1qpp/2pPp1PP/8/Ppb1N3/q1P2P1R/2BK4 b - - acn 1; acs 0; bm Qf3#; ce 32766; dm 1; pv Qf3#;
1N4kr/8/Pp4p1/6P1/2p2q2/1rq5/8/3K4 b - - acn 5; acs 0; bm Qcd2# Qf1# Qfd2# Qff3# Qg4#; ce 32766; dm 1; pv Qf1#;
1N4kr/6np/2r5/3p1p1p/4BP2/P3b1P1/1q6/3K1N2 b - - acn 1; acs 0; bm Rc1#; ce 32766; dm 1; pv Rc1#;
1N4kr/4P1pp/b2p4/6rP/p4Qn1/2Pq1B2/P1P2PP1/2R1KR2 w - - acn 3; acs 0; bm Qf8# e8=Q# e8=R#; ce 32766; dm 1; pv e8=Q#;
1N4kr/3P4/6K1/2P3P1/4p3/8/8/8 w - - acn 2; acs 0; bm d8=Q# d8=R#; ce 32766; dm 1; pv d8=Q#;
1N4kb/n7/3r3P/3P2p1/4K1b1/2r4p/6nP/8 b - - acn 2; acs 0; bm Re3#; ce 32766; dm 1; pv Re3#;
1N4kb/7p/2r4B/p4Q2/4r3/1p6/2p3n1/2K5 w - - acn 1; acs 0; bm Qf8#; ce 32766; dm 1; pv Qf8#;
1N4k1/p1P1P3/P4PP1/2n2N2/8/8/1K6/7b w - - acn 4; acs 0; bm c8=Q# c8=R# e8=Q# e8=R#; ce 32766; dm 1; pv e8=Q#;
1N4k1/P3P3/1b6/3P4/3B1P2/P7/5Q2/1BR2K2 w - - acn 1; acs 0; bm e8=Q#; ce 32766; dm 1; pv e8=Q#;
1N4k1/8/8/2B2p1K/6r1/q7/8/5N2 b - - acn 1; acs 0; bm Qh3#; ce 32766; dm 1; pv Qh3#;
1N4k1/8/8/1B1P4/n7/4Rq1r/8/6K1 b - - acn 1; acs 0; bm Rh1#; ce 32766; dm 1; pv Rh1#;
1N4k1/8/7K/6r1/5b2/6q1/8/8 b - - acn 9; acs 0; bm Qh2# Qh3# Qh4# Ra5# Rb5# Rc5# Rd5# Re5# Rf5#; ce 32766; dm 1; pv Rf5#;
1N4k1/8/1p3p2/p4P2/b2P3r/3KPQp1/1BR2q2/8 b - - acn 1; acs 0; bm Qxc2#; ce 32766; dm 1; pv Qxc2#;
1N4k1/7n/1P6/4P3/8/2R4p/3p3P/7K b - - acn 2; acs 0; bm d1=Q# d1=R#; ce 32766; dm 1; pv d1=Q#;
1N4k1/7R/8/2P4P/1B6/3p1Q2/6bK/8 w - - acn 1; acs 0; bm Qf7#; ce 32766; dm 1; pv Qf7#;
1N4k1/6P1/4P2p/2pp3R/3P1rn1/2r3P1/4K1R1/2q3N1 b - - acn 2; acs 0; bm Re3# Re4#; ce 32766; dm 1; pv Re4#;
1N4k1/4p1B1/6Q1/3R4/P2b4/3P4/3R4/2n4K w - - acn 1; acs 0; bm Rd8#; ce 32766; dm 1; pv Rd8#;
1N4k1/4P1r1/5b2/6NP/2P3KP/8/8/8 w - - acn 2; acs 0; bm e8=Q# e8=R#; ce 32766; dm 1; pv e8=Q#;
1N4k1/4BR2/8/1p6/8/1pp2p2/2q5/K7 b - - acn 5; acs 0; bm Qa2# Qb2# Qc1# Qd1#; ce 32766; dm 1; pv Qc1#;
1N4k1/2Q5/p2b1P2/8/5P2/3K2p1/1r2N2P/8 w - - acn 1; acs 0; bm Qg7#; ce 32766; dm 1; pv Qg7#;
1N4k1/2Q5/3Pp1pB/P3n1R1/3p4/5p2/2B4r/5K2 w - - acn 1; acs 0; bm Qg7#; ce 32766; dm 1; pv Qg7#;
1N4k1/2P3p1/3R1RP1/p7/P4P2/8/n7/3Kb3 w - - acn 3; acs 0; bm Rd8# c8=Q# c8=R#; ce 32766; dm 1; pv c8=Q#;
1N4k1/1R6/2B3p1/p4n2/P2P1P2/4R3/3bK3/8 w - - acn 1; acs 0; bm Re8#; ce 32766; dm 1; pv Re8#;
